a 阿锕嗄啊吖錒腌呵
wu 午廡物鎢霚無寤迕弙误嵨躌螐箼奦旿呉务禑嵍雾揾铻靰勿武忢牾蘁憮毋噁儛俉熃晤娬甒誤舞杌芜錻汚潕钨誈鵡鰞邬亾蕪扝呜柮齀吾於熓粅剭鼯誣釫芴霧鹜玝橆瞴屼庑焐洖鷡岉乌郚雺祦蜈埡塢侮齬杅坞渞捂惡鹉鼿鶩兦啎茣污浯鋘鯃吳悟鹀烏嫵悞怃恶亡摀趶溩譕窹洿诬阢碔騖鄔吴霿戊屋蟱忤仵悮梧鵐逜婺珷嗚膴骛陚倵敄盓汙窏鴮圬媉扤珸妩娪瑦鋙墲峿无唔隖伆伍杇矹痦兀五莁務巫娒璑幠鋈
wa 哇
xi 巇醯嵠析俙脅椺琋熺蜥黖瞦驨誒縰豀觋纚晞咥矽翕犀玺愾璽烯扱漇戯棲習詑礂矖繥阋赩西肹夕錫莃餏溪鵗釳縘浠蠵碏諝戲惁捿趘隰膝唽裼觿诶息饩橲禊霫塈呬雭吸熂熄饻謚糦鏭宩铣洗熙豨熹徆覡晳卥袭盻栖钑謵銑羲酅錯隙扸戏屃橀脇鉨憙蔇擊谿釐隵鳛茜螅鼳餙虩蹊榽硒嶍郄蓰喜覤屣锡汐葸皙貕怬惜厀系怸趇狶諰渓欪舄鑴慀蜤焟躧奚煕鱚細隟屖媳嚱騽嬉蒠鄎雟鈒氣谞澙穸嘻曬緆氥衋徙晰欷粞霼菥蒵绤忥悕鎴獡牺豯灑禧郋稧飁闟郗焁鼰滊襲希腊蟢觽嚊曦譆郤嶲螇僖焬蓆鼷舾槢恄葈兮檄蟋淅釸鈢枲囍訢傒习唏席歙徯细昔熻稀係爔蝷鰼赥恓燨犔瘜蹝磶潟桸焈忚擕嬆凞睎巂翖磎慴鉩潝鰓鬩燍犠悉壐莔觹瓕憘騱漝蕮薂犧杫吚繫樨椞呰謑鯑娭綌鸂噏暿肸餼窸
xia 縀廈轄霞颬狭浹鍜侠懗疜閜俠碬毳狎虾黠舺瑕溊魻煆鏬谺郃舝厦柙下陜鶷唬敮翈瞎峽騢昰圷陿匣敆捾疨峡筪夏諕嚇硤搳蝦烚睱祫給梺硖蕸珨赮鰕傄炠暇吓罅惵謑埉縖辖虲狹閕鎋夓呷遐
xian 挦獻垷現晛跹宪瞯脅抮撏嫌嶮僊衘譀嗛壏藓豏馦縣娹燹蹮礥险佡埳鍁韅弦詽薟孅暹杴舷瀗銜廯賢娴臔见綖絃锨霰猃妶誢膁筧衔现县禒臽鷳橌玹韱襳諴纖幰贤瞷盷誸稴銛纤掀顕餡冼闞腺僲灑饀氙涀躚涎譣藖奾攕烍胘輱鰔咸憪訮贒岘釤礆娨鼸僴婱鋧獮陥籼羨鑦絤痫慳憲嘕鶱莧尟閒姭櫶槏先屳蘝铣洗咞缐蘞祆线玁麲綫湺見尠醶顯鱻枮線蚬蛝縿銑闲澖馅錎塪羬閑蚿嫺攇脇箲錟赻堿撊憸跣鏾軒懢獫筅梘仚秈醎姺搟癇苮軐限蘚険仙鮮揱鷼显摻鲜鹇僩伭嫻咁綅峴毨珗睍甉哯鹹铦粯苋嬐莶癎酰忺唌褼詪濓俔韯狝撡欦險硍鷴繊県蜆姍羡灦啣陷献鍌纎间
xiang 祥姠香瓖闂项葙潒嶑翔缿珦镶麘項庠栙相鮝饟响像絴緗忀蚃佭跭象膷乡亯纕想衖骧鬨萫様嚮曏鲞巷鐌廂啍勷瓨详迒鑲橡樣缃蠁晑詳飨鴹蟓勨箱啌響鱌訌郷鄊蘘享饷欀鄕嬙銗閧鱶薌襄降鋞鯗向傢楿驤襐銄鄉鱜饗瀼餉儴厢湘芗塂
xiao 傚慅銷嘵哮淆灱髐脩霄獟庨嘯囂斅呺毊謏綃嚣削踃譊皛晓睄鴵蛸轇箫莦滧爻敩摉猇萷嘨恷宵蟂蟏謼瀟歊篠蟰簫校歗膮硝恔誵橚痚斆髇殽灲小崤笹絞嘋硣焇燆绡鞩窙撨嚻曉澩虓熽哓笑郩俲嬈彇潇骁鷕鸮暁侾颵縿逍枭虈啸孝翛鵁騷熇謞簘鷍較効蠨箾筿萧咲撓痟誟鴞皢叜潚骹啋揱宯烋销嘐藃薂嗃梟洨魈消涍穘憢蕭詨獢嘮驍枵筱婋肖櫹效
xie 协齛歇斜脅澥鍱泄諜勰鮭祄躠躞徢榭絏暬褉炨廨齥鵊烲榍嗋偰挟携讗契噧旪藛絬緤漑缷卨垥塮薢衺偕劦绁屓協卸谐谢龤獬胁揳碿叶械滊蠏觟炧灺焎蝑蝢纈峫瀉媟偞寫屭蹞緳繲僁洩屟爕瑎潰襭挾邂熁檞紲写攜邪颉懈齘猲薤蟹湝欸擷夑楔伳屃脇譮解鐷魼燮擕韰鞋撷脋些榝吤屑瀣鞵翓儶蠍渫蝎裌拹褻冩鬶泻亵鞢膎禼娎獦屧蜨綊缬燲靾血齂絜嶰慀恊謝諧梋糏愶屜枻
xin 囟釁俽撢芯軐姰噷伩舋脪豨新妡馫焮莘伈嬜忻噺礥镡襑邤鈊惞欣心信薪炘憖馸憗馨鬵慭忄訫鐔昕盺辛孞潃鋅锌杺尋歆鑫阠廞衅訢枔
xing 垶幸觲荥倖嬹陉澋渻洐裄性郉皨睲興鮏铏猩擤骍鯹侀型餳邢腥省緈曐狌謃荇婞行哘煋娙滎兴形熒篂莕悻蛵硎嫈臖姓刑觪騂銒瑆鋞星鉶涬惺陘醒杏箵饧
xiong 胷哅雄匈讻賯诇詾兄兇胸凶赨洶訩敻恟昫忷芎熊詗汹
xiu 珛烌蓨銝髤鏥鮴繡綇樇滫鏽臹宿烋脩綉螑飍嗅齅鱃绣锈秀糔羞俢溴岫貅脙嚊琇銹鎀鵂修髹朽茠休饈臭苬咻褏袖璓繍馐臰蓚褎鸺庥鏅
xu 朂疞瞲勖胥眗砉藚畜烼幁鉏旭姁媭訏谞魖欻獝须戌冔蓿揟湑垿嬃藇続稸緒惐诩鉥敍慉掝叙俆諝頊昫醑漵壻歘侐盢許蝑槒鄦洫煦珬伵浒謳瞁晇絮续鬚需伃姱楈窢噓偦須籲續芧旴溆徐恤汿嘘淢緖滀賉嘔聟蒣嘼歔盱顼吁驉魣勗稰序諿敘蓲虛赓暊蕦栩糈緰虗酗许虚喣欰圩縃潊訹魆呴殈詡盨卹繻欨烅怴绪譃鱮鑐墟銊謣沀珝蓄婿
xuan 衒铉楦駽蔙媗弲懁潠駨嬛镟癣炫揎泫瑄絢澴颴瓊諼癬讙儇琁絹悬绚揈琄選漩萲矎絃暶煊翾箮昡烜轋妶畇檈狟鐶嫙县愃晅繏蓒玹藼贙軒煖盤蘐禤饌旋煇咺暅轩姰蜁吅睻蝖眴玄袨璿昍选怰鍹渲塇券谖諠縼蜎鏇喛鰚蕿鞙鋗譞萱宣懸翧蠉喧眩痃璇碹鉉镮暄梋愋玆
xue 勪泧斈膤鱈桖鞾學穴瞲峃鷽壆踅鳕狘坹辥雪戄瀥疶疦雤削蹻韡谑靴怴学烕茓噱趐轌岤嘋泶觷決謞薛謔泬乴吷鸴血艝袕樰蒆訣燢嶨
xun 詢鱏杊樳伨蟫蕁殾熏巽驯駨寻馴攳璕絢蟳勲逊讯獯坃廵郇鱘爓毥浔葷勋奞愻焄侚楯爋訊勛询壎畇浚塤旬曛循鑂尋殉训汛甽篔荨壦揗巺煇燂姰卂燖眴燻濬咰燅窨筍栒槆賐遜稄峋噀訙纁顨孫荀勳埙狥鄩蕈巡紃薰蘍薫徇潯訓嚑矄恂臐鲟迅迿桪珣噚鶽醺偱洵
ya 琊堐壓窫痖揠聐鐚吖岈婭娅犽瑘氩漄襾齖呀邪鸭亜啞猰呾劜伢孲芽拁椏挜圧厓蚜丫庘厭亚枒哑鸦衙笌押轧掗輅睚軋雅訝潝輵氬釾疋姶鴉砑顔疨圠崕迓桠崖淣垭牙鴨錏亞蕥閘鵶猚涯鼼圔玡稏讶厊瘂椻穵俹庌压埡铔唖
yan 灧饜鳫硏渰黤甗鬳詽艷薟燄酽硽兖驗躽綖鴳懕窴魘嵃嚥彦嫣麣巚釅褗鰋堰崦嵒珚俨铅偃崄諺礹胭譣曮厃鹽樮阭黶閼訮偣巘橪豣傿蜒赝慇餍愝匽抁言阎黬験唁軅讠醃谚酓鶠鳱癌孍昖奄麲弇酀琰裺廵暥檐妟燕莚煙艶錟讌滛郔岩閻娫円黰夵眼雁椼沿淹巖菴讞醼龂鷰彥咽黭鄢蔅壛淊烻齗棪觾验喭塩櫩閆險靥驠顏嬮琂姸顩膁颜腌曕壧谳臙隁齞灎黫嶮盐狿焱灩遃嶖葕埏觃豔爓閹豓炎硯晏騴諴贋囐演儼蔫虤焰涎炏掩嬿严阉顔漹揅挻厳溎牪衍乵騐恹扊研剦阏齴菸曣妍郾鼹魇沇湮厴孨猒艳覎贗湺醶篶剡嚴葊筵碞隒砚捝羬滟厌揜萒烟豜厭憛延黡鴈噞婩巗渷厣瓛鼴娮簷欕縯殷偐嬐嬊楌唌嵓麙焔敥焉兗罨鷃晻蝘闫顑巌芫熖掞屵椻檿灔宴姲墕
yang 飏佯咉怏鐊霙霷潒烊阦陽珜蛘抰泱禓垟湯歍瑒炀懩鸯瘍羊鸉秧颺勜氜軮央劷奍羪揚钖雵様痒攁羏鍈礢瀁愓癢崸樣羕慃炴坱眏胦紻鰑詳鴦徉煬鴹諹氱飬婸崵姎扬样锳楊旸詇卬洋仰敭楧殃岟漾恙养眻佒鉠氧昜阳傟駚疡輰養暘鍚柍鞅杨
yao 薬鹞遙宎肴幺餚枖磘杳獟榣揺穾抭鴁堯谣轺籥姚岆峣噛爻恌瑤搖撽楆愮倄瑶覞徭嚙芺要訞窔繇咬垚榚熎葯烑齩趯讑闄狕詏靿鑰踰钥溔軺鷂殽葽顤喓殀妖嗂摿陶窑颻崾燿窅騕袎爚邀矅曣祅蘨餆嬈鷕尧珧苭鳐窈婹蕘纅謡匋滛吆舀侥腰嶢窯曜嶤偠仸飖藥药徺铫夭怮媱遥謠銚暚艞鎐摇筄么驁窰鰩柼眑箹僥尭烄耀朓蓔玅约猺疟傜
ye 餣枼饁窫嚈虵爺野曳堨揲亱鍱漜啘邺页謁頁殕葉邪曗燁饐鵺擨拽擖腋捓曅懕埜椰僷瞸谒焆熀業噎烨聶鎁捙鐷歋皣澲液緤枒业餘揶鄓痷枽潱瓛釶馌鸈晔黦礏嶪楪釾叶咽掖爷瞱嶫閼耶洂抴曵靨也爗擛暍煠峫擪殗驜壄阏靥吔蠮铘蠱鄴鋣偞嘢曄鎑墷倻夜冶壒擫
yi 匇彛衪奕伿鮧瘗冝鎰蜴瞖訑袆嫛阤扆轶弈抑褘议懿亦頤锜鐿椅亄斁鶍熤舣劓孈咦椸跇詑檥栧彜欹劮繹耴睪诒殪夷峓鉯嵒陭蟻褹悥隿镱賹迤佁艤坄宐迻醳敼訳飴依齮誃抴屹鷖一苅呓憶诶戺乙羛訲昳熈鳦掜鈠垼役忆浂寱勩疫渏繄挹薏謚跠驛豛鴺彞悒蛾贻攺叕洩姨翼棭珆籎扅耛蛦遺嶧翊紲瓵圯蘙裔廙鉈溢唈瘞霬怿螘鏔迆鷾俋饐銥宜诣峄柂觺枍詍蓺曎黓仡旑熪邑佾潩易嶷樴苡嗌臆讉謻嫕桋铱鸃衣贀鹥輗叆缢泆鯣辥顗亿晹霅曵儀矣蛡擇鮨伇議藙庡偯忔倚衵仪燱钀詣翌迱兿饴刈撎匜秇噫圛袘逸钇骮稦毅銕疑呹駅绎貖弌鹝栘穓蛜億暆益墿釔尾曀檹意絏蚁澤扡襼羠繶鈘裿豷呭維玴咿簃伊禕以浥貽椬膉頉搤羿鶂欭恞靉譯貤檍嬑儗谊辷苢杙肄義欥郼勚熠毉綺弬寲翳忯怡浳焬媐顊驿錡熼軼嶬笖巸逘焲敡畩磑袲豙帠枱澺嬄黳醷弋湙縊沶揖螔譺蛇埸瑿遗癔异洟佚釴祎眙裛藝鶃殔悘沂炈詒欸漪螠燚埶夁狋萟痍胰齸狏杝萓鹢彝嬟宧燡異袣妷镒医艾芅义幆歖衤厭崺栺洢輢阣酏猗頥懌乁瀷肊颐囈瘱醫鉇礒痬艺帟釶旖艗鷁榏已讛鷊侇鷧轙译箷拸譩襗吚殹槸壱壹靾踦彵獈歝虉移黟竩荑誼怈枻
yin 訚陻蟫骃堷阥凐鮣泿赺喑尹懚歅磤螾鈝噾婣朄酳瘾峾瘖蒑訡鞇胤璌垽吟唫檼檭溵諲栶冘櫽愔崯吲隱絪伒噖珢夤欽欭碒讔银烎陰湚鷣窨蚓禋音傿摿蔩齦靷犾洕印龈狺濦粌堙阴梀苂訢嚚殥茵侌趛酓銦隐秵癊荶湮緸饮铟玪寅荫氤引飲洇輑訔姻霠霪憗廴闉滛飮斦猌婬鈏茚韾釿駰淾銀筃蘟崟淫隂癮嶾縯闇圁隠蔭殷嬐齗裀檃鄞憖慭誾霒垠垔囙濥因廕
ying 桯韹焽撄膡啨潁灜萾瓔濴贏蠳褮鞕鱦応蛍莹塋櫿泂迎攍瀯溋攖硬嬰颕鷹濚營罌楹莺影梬鹰俓樱景罃穎嫈癭英矨潆缨譍夃蘡噟碤婴朠嘤瀠瘿映礯鸎绬鷪藀旲暎嵤謍荥嬴膺瑩鐛籯籝鶯僌営偀桜緓濙甖莖萤甇溁韺瑛應賏赢浧鍈营頴鸚廮应灐縄璎嚶盁煐娙櫻螢滎蝿熒愥郢鶧攚纓瀴渶媵罂耺覮锳鎣珱孆盈蝇荧蠅軈鑍瀛滢茔譻摬巆縈巊颍鴬瀅颖蝧孾鹦萦蓥媖
yo 嚛喲唷哟
yong 壅牅怺悀慂蛹訟鷛揘鏞傭擁镛栐拥廱用彮邕甬臃癰喁柡醟勈慵永嵱佣傛涌湧鯒雍癕鰫饔噰鳙鄘庸痈筩雝郺颙槦埇顒滽勇苚砽硧墉泳咏恿惥鲬灉銿詠踊愹嗈鱅澭塎巆愑禜踴嫞俑
you 邮幽祐哊脩猷魷輶侑櫾峳攸黝丣羑痏蚘蚰瀀迶卣嚘疣莸垇浟褏莤有冘由呦秞纋聈褎怣汼蚴尤蕕蝤鮋牰繇鄾右媨铀輏妋銹櫌槱鼬憂禉楢忧酭麀郵滺牗姷戼友唀峟怞栯糿蓧尢佑羗囿邎狖油优懮游幼誘訧孧羐銪悠莜獶釉猶蒏遊肬蝣偤坳鱿駀揂逌汓湵酉又貁蜏鲉怮梄泈牖脜逰亴鈾戭甴耰優莠铕宥柚泑犹诱沋庮梎尣苃斿
yu 僪酑鋊鰅渝衘鴥骬艅醧彧焴玉痏礖鹬茰鍝铻愈噳捓貗砡獝蕍貐棛畭礜兪榆轝噊悇欲窬遹餘蓣与余澦鮽喻于峪纡蝓閼棫踰煜騟伛隩櫲瘐鱼舆禺楰湡偊璡聿稶諭輿郚愚儥嵎谷楀迃杅齬竽裕逾玙籲予蝺捥慾鐭阈圉袬俣楡荢睮燏戫飫璵吁饫獄妪牏蘌玗斞預蜟鄅翑鯲狳御鵒箊緰繘颙盂鸆銉悆瑀籞懙陓覦齵蟈硢渔鳿蒮谕媀鸒蔚娪鋙蜮鱮窳峿崳褕禦瘀寓挧穥輍矞嶼婾饇驭紆叞蕷娛貍茟雨狱鴪鹆燠萮虶棜釪篽鬰霱寙俞龉穀歶鱊亐歈鐍郁逳癒稢喩髃斔歟育匬嶎螤罭藇雓浴灪馭禹嬩惐汚錥桙顒虞畬爩堉谀鴧誉豫於欥萭预魊語迂毓唹钰羽嫗邘昱灹螸阏淯圄尉愉堬與瘉语菸淤娯隃衧伃滪緎鷸忬屿媮傴祤觎燰淢鬻籅吳喅馀娱龥芋魚穻揄澞漁蓹魣芌諛堣欎腴嵛鷠扵鈺羭鬱琙熨欝俁驈隅毺軉薁圫域舁庽庾頨臾敔麌盓礇汙欤俼喐秗萸閾雩瑜妤遇謣譽旟宇蘛
yuan 贠圎员眢鴛院櫞邍騵圆弲禐渁渕冤猿員鹓剈鵷羱邧鎱援妧袁蜵衏愿夗掾換笎薗渆源褤酛蝯塬怨寃厵沅灁謜肙螈猨轅鶰橼焆逺远鸢噮箢嫄円元苑瑗傆鼋蚖垸鼘厡鳶黿鼝蒬貟鋺妴隕渊缘遠輐獂駌園原溒楥裫鸳爰媴淵蝝縁蒝辕嬽緣蜎盶喛褑裷杬圜圓鶢鈨願垣魭悁棩芫媛榞湲葾囦嫚榬园憚愋
yue 銳恱矱籆粤越蚎鉞礿跃樾玥捳説粵戉岳跀鑠抈鸑籰彟彠龥说矆汋髺刖攊籥鈅阅焆櫟嶽嬳钺悦岄哾乐曱栎篗黦蚏趯哕鑰钥鋭龠躍扚妜蘥軏躒曰枂禴鸙閲臒箹瀹約噦爚爍悅约閱月
yun 匀恽愠缊緼员蘊鄆愪醖溫榅賱員韵縜紜贇狁涢鄖夽允縕薀勻蒷霣頵氳郧秐蝹馻孕昀抣輼辒韗煴玧緷韻沄妘煾畇藴轀雲齳荺傊熅呍熨云氲磒暈涒搵篔眃陨蕴腪溳煇郓醞芸榲隕囩喗惲慍筠餫蒀褞蒕筍赟奫运運阭鈗耺熉齫晕繧筼抎酝枟韫殞鋆均媼橒韞伝澐纭耘蕰殒蕓叞
ya 呀
za 砸鉔韴咂囃囐沞紮魳沯桚帀紥雥啑臜噈囋磼灒雜喒臢杂雑匝拶啈扎襍咋抸
zai 酨傤在灾災睵载渽甾載儎葘再扗賳縡哉洅烖菑崽宰溨仔栽
zan 篸賛淺鐕襸瓚儧禶酇糌攢欑暂讃咱攒趲饡暫攅簮赞撍鏨濽昝揝儹蹔寁鏩兂簪臜瓒囋偺趱灒酂喒瓉臢拶錾鄼鐟濺讚穳贊
zang 驡葬羘贓臓脏藏贜銺牫弉臧赃髒駔驵塟賍牂奘匨蔵賘臟
zao 譟喿繅糟趮梍早謲燥皂栆艁唣簉澡鑿躁醩傮薻唕凿竃璪蚤遭煰繰皁造璅藻竈枣灶棗噪蹧慥
ze 樍萴灂謮唶则啫幘沢赜簀齚択賾啧蔶仄舴澤汄皟矠捑嘖蘀齰荝則蠌睪昗庂鸅泽飵迮帻讁虴歵责崱择夨溭責稄伬謫萚諎泎擇侧昃笮襗禝葃礋箦瞔耫咋嫧
zei 蠈贼鰂鲗鱡賊戝鯽
zen 譛怎囎谮譖撍
zeng 熷鄫綜譄鱛鋥甑锃曾磳鬷曽璔橧憎繒増增贈矰縡缯罾综赠
zha 鮓皻皶紥醡揷鮺闸迊劄潳齇拃樝咋眨踷囃宱蹅譗喥札齰鲊搩乍楂喋喳痄扎蚱奓炸牐诈譇膪謯藸砟苲摣齄轧軋鰈哳挓偧蜡查溠蚻柤霅柵渣觰諎箑鍘餷鲝詐栅揸煠吒铡閘灹搾挿抯偞箚厏咤耫柞齟榨
zhai 捚亝齋檡牴宅责翟嚌择抧寨簀斋砦齐榸擇骴侧鉙窄粂瘵斎摘駘擿夈债債膪梩
zhajia 擖
zhan 鳽蛅栴绽黵霑战崭謙盞瞻斩粘旃襢榐骣蹍飐皽餰颤欃轏拃沾嶄鱣氊鳣詹琖鹯蘸戰亶虦漸站譠嶦饘驏栈氈偡嶘旜驙虥輚搌嶃跕撣桟邅占戦閚菚惉儃展橏醆薝譫飦斬譧澶樿湛嫸趈詀魙谵颭顫盏辗鸇讝輾佔噡點毡綻棧覱
zhang 鐣幛騿仧礃樟蔁丈弡畼涨墇扙帳獐璋瘴漳胀蔏障痮涱鏱鄣暲傽餦粻嫜漲张掌鞝章长麞蟑杖幥賬遧帐鱆彰瘬瞕張脹長仉粀仗嶂慞账
zhao 啅瑵笊鉊肁瞾妱罩釽棹着爪召找照皽窼曌菬诏燳櫂钊巶鮡盄炤肇旐沼鼌赵嘲釗羄謿鳭肈啁朝狣枛垗趙佋昭詔罀駋鼂招兆箌鍣
zhe 蟄銸嗻摺着棏哲讋輙輒埑摂晢辄蜇粍谪樜詟鷓攝锗鷙懾這鮿折淛漸蔗聶嚞砓鍺褶悊籷歽赭馲磔者遮慴虴驝嫬柘囁乇潪喆阇轍謫蛰蟅襵浙蠚啠矺嘀辙厇这軼仛晣謶謺袩螫鹧聑
zhei 这
zhen 靕黱駗桢迧澵蒖枕抮阵縥塦黮榛榐真贞瑱枮鱵鎭针祯侲趂鴆胗裖屒椹聄縝敒鎮臻诊侦陣搸楨寊箴酙鹯疹紾誫鍼揕帪圳湞禛鉁纼陳轸黰栚嫃稹診浈姫愖朾鋴幀镇鈂陈弫葴珍震瑧砧軫昣甄蜄籈薽遉沵紖萙蓁辴錱袗缜鬒眞斟桭珎謓鸩眕鸇殝偵眹賑轃針鯗絼沴溱覙畛獉赈朕鍖潧樼顩栕挋敐貞禎敶振
zheng 拯整桢綪氶诤鉦睁征猙篜鄭崢钲凧祯佂撜諍箏塣倀掙鮏姃证鯹狰湞踭浧嶒徵徎鬇愸聇筝争幀媜鴊証睜癥埥揁峥正眐掟症糽錚铮抍丁徰政帧晸炡蒸郑烝證鯖怔崝挣爭脀埩憕
zhi 縶梔胝謢祉膣桎蟙遟阤摨櫛枳拞嬂骘只鴲志楖徔淽贽鑕値胵酯芷淛馽秩稚檇智秓墌鉄搘嚔知秷櫍蛭輊氏垁觗鳷侄潪遲质泜穉墆豑隻紩支銍礩釞忮絷植踯凪榰歭椥脂騭袟軄厔紙蘵征扅栉衹跖郅呮漐抧躓隲蹛馶瘈坁絺遅臸耆咫娡璏跂挃猘卮阯乿帋识樴夂踶訨扻製儨址埴恀摯窒徴覟痣亊槜疐誌擲秪崻幟徏翐眰挚質鋕軹豒膱擳铚觯擿峙銴栀芝指祑之厎扺置制纸禔巵疷藢觶戠騺止茝踬雉稙祬祗識趾滍犆扡洷執庢茋治掷跱徝駤劕吱肢直贄熫至偫沚旘锧觝滯劧汦恉禵軽秖坧鯯倁俧慹忯瓆菭袠躑鴙蜘彘鶨螲陁姪懥执织瀄疻俿稺襧禃庤畤炙緻潌懫蹢轾洔旨秲蹠鼅殖滞砋鷙帜狾晊驇帙迣汥陟栺聜衼黹豸憄值汁綕枝致織筫貭傂胑鸷痔職聀摭杫梽芖搱轵职廌
zhong 蟲汷衶众蔠衷舯茽忪潨褈幒徸鈡穜鍾尰眾锺媑筗鼨妕腫衆肿刣螤终夂籦偅妐鐘重彸蚛伀种忠堹蝩冢種狆螽鴤盅祌煄衳泈歱钟炂塚蹱中踵柊銿終橦鈆瘇諥迚喠緟仲
zhou 譸昼謅洲周調駎绉皺輖喌鸼帚籀冑紬僽婤掫籒荮騆晝徟宙盩籕炿詶州咮轴诌騶胕紂懤銂晭諏疛赒嚋珘纣咒胄酎媰烐葤繇詋輈噣碡軸駲箒偢啄粙淍縐鯞妯鈾肘诪骤皱賙伷辀郮舟呪鵃菷啁霌薵椆睭侜驟週怞粥甃矪翢洀
zhu 丶祩蓫嗻蠾櫧坾竺砫薥銖鴸竹瀦助拄著诸渚灟侏櫡注註鉏孎燭柷嘱鸀咮佇蠋笜騶誅豬斀曯鼄袾宔簗槠劅媰疰洙竚蛛朱絑蝫軴跓鱁壴铢篴泏霔逐搊篫属炷筯贮主褚飳跦蕏笁橥苧矚纻詝鉒芧劚鋳貯樦劯築秼柱杼鯺术烛麈諸欘株爥紵诛邾鑄蠩茱麆濐翥箸朮瞩筑羜蛀陼藸罜炢鮢駐墸藷櫫噣伫祝舳囑躅嵀钃殶斸尌駯眝珠煮铸猪莇馵瘃跙逫紸驻煑潴苎住硃窋迬茿
zhua 髽撾挝檛抓膼摣爪
zhuai 睉拽跩
zhuan 饌巺塼端剸堟灷巽嫥孨瑼耑諯転鄟僝颛砖籑囀僎转传轉磚篿蒃簨赚顓馔膞賺縳襈漙撰竱鱄瑑啭甎專傳专腞篆蟤専
zhuang 焋糚壵漴樁壮湷幢梉桩荘僮丬莊潨壯獞庄撞状粧奘妝戆装娤妆裝狀庒
zhui 赘贅隊埀騅惴畷笍轛缀錣箠骓錗甀椎鑆鵻餟錐膇坠倕醊沝隹鎚醀縋锥雈諈綴礈追缒腏墜娷
zhun 純惇訰宒埻圫綧旽踆准窀棆屯準凖稕迍湻忳飩啍肫諄衠谆甽
zhuo 琢叕籗諁诼灂槕着娺拙鋜梲丵彴棳焯鐲斲桌涿著禚濁茁櫡炪蹠犳櫂狵孎蝃汋欘繳斵撯矠趠斀缴擆擢蠗倬掇墌窧剟啅劅穱苲硺鉵卓晫鵫捉妰篧剢噣酌濯胐啄浞鷟籱烵琸窡燋镯藋浊捔灼椓圴斱諑穛斮蓔謶鐯罬聉蠿斫
zi 崰嵫自觜剚嗞虸椔字訾釨輺秄訿辎镃貲璾禌孳茊鼒齍純茲矷趑姕沝茈鍿鈭鎡孶薋齜姉澬緇芓赀赼趦胾鲻啙鋅吇滋紎秶吱湽粢耔锱龇泚牸孖資胔橴梓缁渍葘滓輜頾髭鯔紫咨菑谘仔淄洓笫姊眦漬恣杍眥籽倳茡頿姿呲秭榟錙胏孜兹呰鄑栥鰦諮鶅稵子资跐玆
zong 嵕錝猔潈瘲摠鬷熧惣蓗総嵏粽疭葼潨緵燪朡磫騣总鏓猣踨緫翪棕騌昮艐蹤鍯稯搃鬉枞腙蝬捴惾縦縱潀堫憁鑁緃从倊嵸椶踪碂鯼傯總縂綜偬宗骔蓯倧熜纵豵揔愡鬃鯮综
zou 齱棷陬楱緅菆鯐奏搊箃揍鯫诹郰騶鄹芻諏鄒黀掫鲰齺娵蒩赱驺走邹
zu 稡崒祖租潚詛踤阻倅誶爼葅镞錊俎駔趲伜鏃鑿靻族卆綷訿踿鉃足菹鎐紣哫鉏岨卒诅鎺蹵箤槭鉐傶珇组蒩顇崪謯組
zuan 鉆攥躜揝纉钻赚鑽籫繤賺酇缵纂酂鑚欑纘躦攅劗
zui 嗺嶉睟厜嫢酨槯檌纗槜觜噿枠錊嶊咀朘鋷蟕辠樶晬絊酻濢璻栬嘴酔檇穝蕞醉最罪雋嶵祽
zun 嶟瀳鶎遵樽跧罇栫譐撙鷷噂僔鐏拵鱒鳟繜尊墫捘銌袸
zuo 琢佐撮筰稓胙葄蓙捽阼侳作昨莋鈼秨酢柮鑿嘬做諎咗袏岞座唑糳繓椊笮葃左怍祚坐柞飵岝
zao 蚤
